date,open,high,low,close,adj close,volume,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,sentiment,count
07-05-21,236.399994,245.899994,233.5,245,245,3173204,0.088711251,0.078589316,0.080053474,0.080170778,0.065130053,0.100115642,0.087467811,0.095109692,0.082535935,0.08929153,0.072815758,0.080008761,0.5,2
10-05-21,246.300003,246.600006,234.100006,235.800003,235.800003,3345012,0.075995193,0.062737007,0.071659771,0.087065929,0.069049347,0.092433554,0.064449011,0.113552447,0.096711398,0.121674243,0.071492907,0.073179192,0,6
11-05-21,230,231,220,228.699997,228.699997,4428523,0.078258775,0.0640365,0.070423915,0.107555243,0.073512295,0.101843654,0.077823602,0.067171493,0.090839086,0.101930712,0.0785985,0.088006226,0.5,6
12-05-21,229.199997,235.5,226.100006,226.5,226.5,2765495,0.081738098,0.064899866,0.072941059,0.144196414,0.065425909,0.081061239,0.073460468,0.065110597,0.084161763,0.104894631,0.07349604,0.088613917,0,2
17-05-21,232,233.199997,223.600006,227,227,3949174,0.071414377,0.070829476,0.079023934,0.078753557,0.088689133,0.062693502,0.079447393,0.093448092,0.078926987,0.063703628,0.086165804,0.146904117,0.5,2
18-05-21,230,239.800003,228.199997,231.399994,231.399994,4846337,0.108501555,0.067202048,0.09160951,0.089873939,0.087916546,0.089233996,0.080932439,0.074691187,0.080415028,0.08381894,0.07195937,0.073845443,0.666666667,3
19-05-21,228,230.300003,223.300003,226.600006,226.600006,2888205,0.108501555,0.067202048,0.09160951,0.089873939,0.087916546,0.089233996,0.080932439,0.074691187,0.080415028,0.08381894,0.07195937,0.073845443,0.666666667,0
20-05-21,229.100006,232.800003,225.399994,231,231,3091460,0.134051645,0.090721961,0.064369688,0.077956606,0.082819239,0.065174162,0.072613937,0.133004776,0.067863875,0.080173433,0.06703116,0.064219518,3,1
21-05-21,232.5,236.699997,232.100006,232.100006,232.100006,2719185,0.088750937,0.102921259,0.068531534,0.084318661,0.082945646,0.084124882,0.077664989,0.071719515,0.084160953,0.085072376,0.088988678,0.080800569,2.25,4
25-05-21,233.199997,239.800003,232,235,235,2406956,0.080613434,0.064506828,0.080996371,0.089368338,0.074300511,0.096468443,0.081641273,0.088280873,0.090436419,0.089474251,0.065828515,0.098084743,0,2
26-05-21,234.5,236.899994,231.600006,235.199997,235.199997,2279687,0.104401298,0.059989165,0.060609798,0.141842172,0.060715657,0.070822654,0.060810453,0.060314798,0.08995176,0.110203838,0.119627638,0.060710768,2,1
27-05-21,236.600006,242.399994,233.300003,233.899994,233.899994,4273022,0.104401298,0.059989165,0.060609798,0.141842172,0.060715657,0.070822654,0.060810453,0.060314798,0.08995176,0.110203838,0.119627638,0.060710768,2,0
28-05-21,235,240.600006,233.699997,238.800003,238.800003,1973908,0.104401298,0.059989165,0.060609798,0.141842172,0.060715657,0.070822654,0.060810453,0.060314798,0.08995176,0.110203838,0.119627638,0.060710768,2,0
31-05-21,239,242,236,236.800003,236.800003,1187042,0.074223496,0.078270998,0.099079504,0.070982831,0.082922977,0.074212163,0.081825387,0.075649225,0.087156543,0.071140958,0.11198082,0.092555097,0,3
